id;gender;ssc_pct;ssc_board;hsc_pct;hsc_board;hsc_stream;degree_pct;degree_type;work_exp;emptest_pct;stream;mba_pct
20053;Male;52.76;State Board;55.76;State Board;Arts;52.73;Commerce & Mgmt;No;58.24;Finance;67.85
20054;Male;67.51;State Board;37.01;State Board;Science;64.35;Science & Tech;No;50.3;HR;70.12
20055;Male;86.06;Central Board;58.59;State Board;Science;76.05;Science & Tech;Yes;57.53;Finance;60.99
20056;Female;78.44;State Board;73.89;State Board;Commerce;87.6;Commerce & Mgmt;No;96.41;Finance;67.15
20057;Male;80.05;State Board;80.07;State Board;Commerce;72.04;Commerce & Mgmt;Yes;63.78;Finance;66.07
20058;Female;46.69;Central Board;65.77;Central Board;Commerce;58.35;Commerce & Mgmt;No;55.99;Finance;69.97
20059;Male;61.41;Central Board;67.47;Central Board;Commerce;66.24;Commerce & Mgmt;Yes;60.0;Finance;62.81
20060;Male;86.82;Central Board;;Central Board;Science;64.23;Science & Tech;Yes;8.15;HR;51.37
20061;Female;;Central Board;68.76;Central Board;Science;73.78;Science & Tech;No;59.43;HR;67.06
20062;Male;59.08;State Board;62.0;State Board;Commerce;62.12;Commerce & Mgmt;No;60.08;Finance;51.39
20063;Female;80.81;State Board;57.68;State Board;Science;63.76;Science & Tech;Yes;94.32;Finance;66.04
20064;Female;55.07;State Board;64.12;State Board;Commerce;59.64;Commerce & Mgmt;;58.59;HR;54.79
20065;Male;68.72;Central Board;74.01;Central Board;Commerce;67.29;Commerce & Mgmt;Yes;97.03;Finance;70.37
20066;Female;46.34;Central Board;58.47;Central Board;Arts;63.87;Commerce & Mgmt;No;76.94;Finance;62.31
20067;Male;60.67;State Board;62.54;State Board;Commerce;65.26;Commerce & Mgmt;No;61.67;Finance;55.76
20068;Male;64.52;State Board;48.65;State Board;Science;55.35;Science & Tech;No;74.38;Finance;69.92
20069;Male;63.0;Central Board;66.2;Central Board;Commerce;65.6;Commerce & Mgmt;Yes;60.0;Finance;62.54
20070;Female;75.24;State Board;59.27;Central Board;Science;84.29;Science & Tech;No;97.49;Finance;64.81
20071;Male;73.24;State Board;50.83;State Board;Science;64.27;Science & Tech;Yes;64.0;Finance;
20072;Male;62.0;Central Board;57.85;State Board;Science;64.4;Science & Tech;No;59.29;HR;62.8
20073;Female;60.84;Central Board;58.08;State Board;Commerce;53.43;Commerce & Mgmt;No;51.61;HR;58.31
20074;Male;70.19;State Board;79.4;State Board;Commerce;66.4;Commerce & Mgmt;Yes;93.41;Finance;55.69
20075;Male;58.0;State Board;61.0;State Board;Commerce;61.0;Commerce & Mgmt;No;58.0;HR;53.94
20076;Male;70.05;State Board;96.09;State Board;Commerce;53.73;Science & Tech;No;;HR;57.07
20077;Female;45.45;State Board;43.85;State Board;Science;87.19;Commerce & Mgmt;No;72.25;Finance;
20078;Female;63.3;Central Board;78.33;State Board;Commerce;74.0;Commerce & Mgmt;No;80.0;Finance;74.56
20079;Male;49.14;State Board;67.33;State Board;Commerce;56.8;Commerce & Mgmt;Yes;62.29;HR;72.5
20080;Male;69.0;State Board;65.0;State Board;Commerce;57.0;Commerce & Mgmt;No;73.0;HR;55.8
20081;Male;74.37;Central Board;93.71;State Board;Commerce;84.54;Commerce & Mgmt;Yes;77.37;Finance;68.18
20082;Male;72.52;Central Board;80.39;Central Board;Science;73.0;Science & Tech;Yes;87.39;HR;64.94
20083;Male;74.39;Central Board;;State Board;Commerce;64.31;Commerce & Mgmt;;96.47;Finance;65.36
20084;Female;75.1;Central Board;73.58;Central Board;Science;67.49;Commerce & Mgmt;;64.88;HR;62.8
20085;Male;88.85;State Board;85.83;State Board;Commerce;68.87;Commerce & Mgmt;No;97.17;HR;60.45
20086;Male;70.35;Central Board;63.35;Central Board;Science;64.95;Science & Tech;No;829.86;HR;59.33
20087;Female;46.85;Central Board;55.04;State Board;Science;65.15;Commerce & Mgmt;No;62.07;HR;65.2
20088;Female;76.27;State Board;66.45;State Board;Commerce;58.45;Commerce & Mgmt;No;68.64;HR;62.24
20089;Male;53.98;Central Board;82.06;State Board;Commerce;63.01;Science & Tech;No;50.03;Finance;59.5
20090;Male;49.18;State Board;58.97;State Board;Science;65.0;Science & Tech;Yes;85.8;Finance;62.47
20091;Female;75.07;State Board;54.55;State Board;Science;63.24;Commerce & Mgmt;No;52.8;HR;53.31
20092;Male;52.0;State Board;56.28;State Board;Commerce;55.94;Commerce & Mgmt;No;58.36;Finance;65.63
20093;Male;77.67;State Board;64.89;State Board;Commerce;70.67;Commerce & Mgmt;No;89.0;Finance;60.39
20094;Male;56.6;Central Board;64.8;Central Board;Commerce;70.2;Commerce & Mgmt;No;84.27;Finance;67.2
20095;Male;77.71;State Board;75.65;State Board;Commerce;67.67;Commerce & Mgmt;Yes;73.76;Finance;64.51
20096;Male;;State Board;74.08;State Board;Science;65.88;Commerce & Mgmt;No;69.9;HR;57.92
20097;Male;65.79;Central Board;79.76;Central Board;Commerce;65.85;Commerce & Mgmt;No;66.3;HR;65.86
20098;Male;63.0;State Board;67.0;State Board;Commerce;66.0;Commerce & Mgmt;No;68.0;HR;57.69
20099;Female;69.5;Central Board;70.0;Central Board;Science;72.0;Science & Tech;No;4.09;HR;54.8
20100;Female;80.76;State Board;61.35;State Board;Science;77.79;Science & Tech;Yes;67.18;Finance;69.13
20101;Male;79.25;State Board;80.94;State Board;Commerce;;Commerce & Mgmt;Yes;64.13;Finance;66.73
20102;Male;62.0;Central Board;63.0;State Board;Science;66.0;Commerce & Mgmt;No;85.0;HR;55.14
20103;Male;72.95;State Board;46.12;State Board;Science;63.99;Science & Tech;Yes;699.8;Finance;64.88
20104;Male;79.69;Central Board;63.87;Central Board;Science;65.64;Science & Tech;Yes;95.0;Finance;64.15
20105;Male;62.98;State Board;62.0;State Board;Commerce;55.08;Commerce & Mgmt;Yes;63.98;HR;51.47
20106;Female;79.7;Central Board;82.96;State Board;Arts;83.4;Commerce & Mgmt;No;54.9;Finance;68.66
20107;Female;69.0;Central Board;78.0;Central Board;Commerce;72.0;Commerce & Mgmt;No;71.0;HR;62.74
20108;Female;63.0;Central Board;65.21;Central Board;Commerce;64.38;Commerce & Mgmt;No;68.0;HR;63.67
20109;Male;69.3;Central Board;69.17;Central Board;Commerce;77.74;Commerce & Mgmt;No;79.76;Finance;53.78
20110;Female;75.05;Central Board;59.58;State Board;Science;69.63;Commerce & Mgmt;No;78.63;HR;65.05
20111;Male;70.8;Central Board;70.95;Central Board;Science;;Science & Tech;Yes;68.04;Finance;70.37
20112;Female;61.78;Central Board;81.3;State Board;Commerce;78.47;Commerce & Mgmt;No;87.15;Finance;77.55
20113;Male;80.68;State Board;82.24;State Board;Commerce;77.61;Commerce & Mgmt;No;91.3;Finance;75.04
20114;Female;57.61;Central Board;69.61;Central Board;Commerce;66.61;Commerce & Mgmt;No;64.36;Finance;71.07
20115;Female;74.99;Central Board;74.04;Central Board;Science;66.4;Commerce & Mgmt;No;64.74;HR;62.6
20116;Male;73.0;Central Board;78.0;;Science;;Science & Tech;Yes;8.5;HR;65.83
20117;Male;74.4;Central Board;62.19;State Board;Commerce;76.47;Commerce & Mgmt;Yes;67.06;HR;59.86
20118;Male;62.0;Central Board;65.0;State Board;Commerce;60.0;Commerce & Mgmt;No;84.0;Finance;64.15
20119;Female;69.05;State Board;61.4;State Board;Science;62.05;Commerce & Mgmt;No;89.0;Finance;60.59
20120;Female;77.0;State Board;;State Board;Commerce;81.0;Commerce & Mgmt;Yes;89.0;Finance;69.7
20121;Male;58.0;Central Board;61.0;Central Board;Commerce;60.0;Commerce & Mgmt;Yes;62.0;HR;60.85
20122;Female;74.43;State Board;52.9;Central Board;Science;85.82;Science & Tech;No;97.12;Finance;62.55
20123;Male;64.73;Central Board;59.87;State Board;Science;67.08;Science & Tech;No;63.68;HR;59.45
20124;Female;71.47;Central Board;71.15;Central Board;Commerce;65.29;Science & Tech;No;91.85;HR;77.45
20125;Female;58.71;Central Board;61.64;State Board;Commerce;77.75;Commerce & Mgmt;No;73.43;HR;67.47
20126;Female;74.7;State Board;79.15;State Board;Commerce;4.73;Commerce & Mgmt;No;72.32;Finance;63.13
20127;Female;86.94;State Board;64.57;State Board;Science;81.18;Commerce & Mgmt;Yes;88.37;Finance;72.86
20128;Male;64.33;State Board;72.33;State Board;Commerce;59.67;Commerce & Mgmt;No;67.67;Finance;71.79
20129;Male;67.24;Central Board;73.15;Central Board;Commerce;65.98;Commerce & Mgmt;Yes;96.14;Finance;71.4
20130;Female;77.7;Central Board;90.45;State Board;Commerce;70.13;Commerce & Mgmt;Yes;93.07;Finance;65.25
20131;Male;65.48;Central Board;76.0;Central Board;Commerce;71.48;Commerce & Mgmt;Yes;85.05;HR;57.73
20132;Female;45.3;Central Board;72.49;State Board;Commerce;67.13;Commerce & Mgmt;No;97.49;Finance;72.84
20133;Male;68.09;State Board;;State Board;Science;67.65;Science & Tech;No;73.09;HR;68.69
20134;Female;59.59;Central Board;59.41;State Board;Commerce;53.64;Commerce & Mgmt;No;50.87;HR;56.16
20135;Male;74.62;Central Board;77.19;State Board;Commerce;64.19;Commerce & Mgmt;Yes;96.64;Finance;65.89
20136;Female;66.92;State Board;59.31;State Board;Science;72.34;Science & Tech;No;54.38;HR;69.87
20137;Male;80.92;State Board;78.5;State Board;Commerce;67.0;Commerce & Mgmt;No;68.71;Finance;60.99
20138;Female;61.66;Central Board;97.68;State Board;Commerce;76.16;Commerce & Mgmt;Yes;86.16;Finance;73.44
20139;Male;77.93;State Board;69.56;State Board;Arts;76.34;Commerce & Mgmt;No;86.13;Finance;57.3
20140;Female;72.12;State Board;63.6;State Board;Science;66.25;Commerce & Mgmt;No;88.4;Finance;59.87
20141;Female;66.74;Central Board;69.38;Central Board;Commerce;64.65;Other Degree;No;86.23;HR;72.2
20142;Male;48.03;Central Board;62.43;State Board;Science;68.97;Science & Tech;Yes;86.57;HR;56.54
20143;Male;63.97;State Board;59.09;State Board;Science;69.86;Science & Tech;No;90.9;HR;57.33
20144;Female;76.56;State Board;58.13;State Board;Science;64.91;Science & Tech;Yes;91.77;Finance;63.87
20145;Female;44.55;Central Board;55.0;State Board;Science;69.26;Commerce & Mgmt;No;63.47;HR;65.19
20146;Male;69.7;Central Board;67.85;Central Board;Science;69.85;Commerce & Mgmt;Yes;59.28;Finance;56.14
20147;Male;77.67;State Board;64.89;State Board;Commerce;70.67;Commerce & Mgmt;No;89.0;Finance;60.39
20148;Male;80.23;State Board;69.77;State Board;Science;;Science & Tech;No;86.85;HR;71.14
20149;Male;83.33;Central Board;78.0;State Board;Commerce;61.0;Commerce & Mgmt;Yes;88.56;Finance;71.55
20150;Female;76.0;Central Board;64.0;Central Board;Science;72.0;Science & Tech;No;58.0;HR;66.53
20151;Female;86.67;Central Board;72.24;Central Board;Commerce;73.0;Commerce & Mgmt;No;73.09;Finance;75.73
20152;Male;51.79;Central Board;45.98;Central Board;Commerce;53.84;Commerce & Mgmt;No;64.4;Finance;51.54
20153;Male;74.07;Central Board;70.41;Central Board;Science;71.66;Commerce & Mgmt;Yes;59.66;Finance;56.98
20154;Female;64.53;Central Board;67.0;State Board;Science;69.55;Science & Tech;Yes;56.36;HR;70.64
20155;Female;41.27;State Board;45.3;State Board;Commerce;53.17;Commerce & Mgmt;No;70.91;HR;65.5
20156;Male;52.44;Central Board;63.0;State Board;Science;58.61;Commerce & Mgmt;No;78.7;HR;58.99
20157;Male;68.57;State Board;58.26;State Board;Science;62.52;Science & Tech;Yes;57.43;Finance;77.78
20158;Male;70.37;Central Board;79.97;Central Board;Science;73.0;Science & Tech;Yes;88.29;HR;65.03
20159;Female;85.58;State Board;91.05;State Board;Commerce;82.58;Commerce & Mgmt;No;92.13;Finance;67.18
20160;Female;53.13;State Board;52.32;Central Board;Commerce;50.08;Commerce & Mgmt;Yes;84.54;Finance;67.74
20161;Male;87.38;State Board;65.08;State Board;Science;77.04;Commerce & Mgmt;No;97.58;Finance;68.15
20162;Male;57.45;State Board;37.26;State Board;Science;58.65;Commerce & Mgmt;No;72.31;HR;58.72
20163;Female;64.5;State Board;72.68;Central Board;Commerce;61.83;Commerce & Mgmt;No;50.29;Finance;56.9
20164;Male;76.7;Central Board;89.7;State Board;Commerce;66.0;Commerce & Mgmt;Yes;90.0;;68.55
20165;Male;73.74;State Board;75.05;State Board;Commerce;67.86;Commerce & Mgmt;Yes;76.71;Finance;66.44
20166;Male;80.0;State Board;73.0;State Board;Commerce;75.0;Commerce & Mgmt;No;61.0;Finance;58.78
20167;Male;81.49;Central Board;78.44;State Board;Science;79.01;Science & Tech;Yes;87.01;Finance;
20168;Female;86.1;Central Board;81.45;Central Board;Arts;54.18;Commerce & Mgmt;No;58.82;Finance;68.88
20169;Female;86.98;State Board;65.54;State Board;Science;65.48;Science & Tech;No;58.68;Finance;59.18
20170;Female;78.0;Central Board;77.0;State Board;Commerce;80.0;Commerce & Mgmt;No;60.0;Finance;66.72
20171;Male;62.48;State Board;61.92;State Board;Commerce;63.7;Commerce & Mgmt;;65.8;Finance;58.33
20172;Male;;Central Board;66.47;State Board;Science;64.67;Commerce & Mgmt;No;72.0;HR;51.27
20173;Male;76.5;State Board;97.7;State Board;Science;78.86;Science & Tech;No;97.4;Finance;74.01
20174;Male;;Central Board;68.0;State Board;Science;69.0;Commerce & Mgmt;No;53.7;HR;55.01
20175;Male;76.0;Central Board;80.0;Central Board;Science;78.0;Science & Tech;Yes;97.0;HR;70.48
20176;Female;87.67;State Board;94.85;State Board;Commerce;84.67;Commerce & Mgmt;No;92.61;Finance;64.12
20177;Male;60.84;Central Board;64.38;State Board;Science;58.0;Science & Tech;No;87.3;HR;54.1
20178;Female;64.0;State Board;70.2;Central Board;Commerce;61.0;Commerce & Mgmt;No;50.0;Finance;62.5
20179;Female;74.57;State Board;72.25;State Board;Science;67.56;Commerce & Mgmt;No;68.0;HR;73.85
20180;Female;89.02;Central Board;73.22;Central Board;Science;81.65;Commerce & Mgmt;No;78.96;HR;71.67
20181;Male;58.79;Central Board;64.21;State Board;Science;58.42;Science & Tech;No;86.06;HR;55.02
20182;Male;56.0;Central Board;52.0;Central Board;Science;52.0;Science & Tech;No;66.0;HR;59.43
20183;Female;41.23;State Board;45.02;State Board;Commerce;51.72;Commerce & Mgmt;No;73.55;HR;66.74
20184;Male;77.93;;63.82;Central Board;Science;64.73;Science & Tech;Yes;74.24;Finance;64.36
20185;Male;765.6;Central Board;68.4;Central Board;Commerce;78.3;Commerce & Mgmt;Yes;60.0;Finance;63.7
20186;Male;63.38;State Board;65.12;State Board;Commerce;66.38;Commerce & Mgmt;No;68.38;HR;58.14
20187;Male;88.85;State Board;64.03;;Science;83.94;Commerce & Mgmt;No;97.11;Finance;66.04
20188;Male;50.48;Central Board;62.28;Central Board;Commerce;52.81;Commerce & Mgmt;No;74.48;HR;54.22
20189;Female;41.01;State Board;59.33;State Board;Arts;55.67;Commerce & Mgmt;Yes;53.59;HR;68.29
20190;Female;57.87;Central Board;60.59;State Board;Commerce;78.49;Commerce & Mgmt;No;932.61;HR;68.85
20191;Female;73.95;State Board;58.05;State Board;Science;71.61;Commerce & Mgmt;No;55.83;HR;58.51
20192;Female;69.64;State Board;59.07;State Board;Science;73.99;Science & Tech;No;55.95;HR;74.17
20193;Female;58.69;Central Board;62.04;State Board;Commerce;77.71;Commerce & Mgmt;No;74.08;HR;67.23
20194;Female;69.19;State Board;71.16;State Board;Science;65.28;Commerce & Mgmt;No;66.39;HR;74.5
20195;Female;62.09;Central Board;97.0;State Board;Commerce;76.27;Commerce & Mgmt;Yes;86.27;Finance;73.34
20196;Female;59.88;Central Board;;Central Board;Arts;55.96;Other Degree;Yes;80.08;HR;56.71
20197;Male;52.67;Central Board;65.76;State Board;Science;73.41;Science & Tech;No;57.9;Finance;55.93
20198;Male;82.0;Central Board;64.0;Central Board;Science;66.0;Science & Tech;Yes;67.0;Finance;807.82
20199;Female;88.36;Central Board;71.91;Central Board;Science;78.45;Other Degree;No;82.63;HR;71.26
20200;Female;64.0;Central Board;73.5;Central Board;Commerce;73.0;Commerce & Mgmt;No;52.0;HR;56.7
20201;Male;76.5;State Board;97.7;State Board;Science;78.86;Science & Tech;No;97.4;Finance;74.01
20202;Female;68.54;Central Board;79.45;Central Board;Arts;71.22;Commerce & Mgmt;Yes;72.0;Finance;68.51
20203;Female;69.0;Central Board;62.0;Central Board;Science;66.0;Science & Tech;No;75.0;HR;67.99
20204;Male;60.42;Central Board;67.79;Central Board;Commerce;64.02;Commerce & Mgmt;Yes;83.45;Finance;65.01
20205;Male;63.0;Central Board;72.0;Central Board;Commerce;68.0;Commerce & Mgmt;No;78.0;HR;60.44
20206;Female;84.0;Central Board;73.0;Central Board;Commerce;73.0;Commerce & Mgmt;No;75.0;Finance;73.33
20207;Female;70.36;Central Board;70.87;Central Board;Commerce;65.22;Science & Tech;No;90.89;HR;76.08
20208;Female;73.98;Central Board;68.49;Central Board;Science;76.5;Commerce & Mgmt;Yes;68.52;Finance;
20209;Male;63.0;Central Board;67.94;Central Board;Commerce;64.61;Commerce & Mgmt;Yes;58.34;Finance;62.57
20210;Male;63.03;Central Board;78.49;;Commerce;74.83;Commerce & Mgmt;No;80.0;Finance;60.19
20211;Male;85.05;State Board;83.93;State Board;Arts;77.21;Commerce & Mgmt;No;85.2;Finance;77.15
20212;Male;62.27;Central Board;46.11;Central Board;Commerce;50.23;Commerce & Mgmt;No;77.48;HR;51.78
20213;Female;74.96;State Board;56.97;State Board;Science;62.18;Other Degree;Yes;79.88;Finance;61.02
20214;Female;77.04;Central Board;64.54;Central Board;Science;71.96;Science & Tech;No;58.42;HR;66.15
20215;Male;979.81;Central Board;77.23;Central Board;Commerce;76.13;Commerce & Mgmt;No;97.61;Finance;51.3
20216;Female;74.0;State Board;66.0;State Board;Commerce;58.0;Commerce & Mgmt;No;70.0;HR;60.23
20217;Male;62.0;Central Board;43.29;Central Board;Arts;50.26;Commerce & Mgmt;No;83.02;HR;51.66
20218;Male;41.21;Central Board;37.33;Central Board;Science;56.05;Commerce & Mgmt;No;97.45;Finance;51.46
20219;Male;61.72;State Board;64.72;State Board;Commerce;65.72;Commerce & Mgmt;No;3.86;HR;56.86
20220;Male;88.9;Central Board;79.11;Central Board;Commerce;;Commerce & Mgmt;No;97.32;Finance;52.41
20221;Male;64.01;Central Board;64.99;;Commerce;56.81;Commerce & Mgmt;No;97.32;Finance;
20222;Female;83.63;State Board;89.8;State Board;Commerce;76.31;Commerce & Mgmt;Yes;76.29;Finance;77.69
20223;Male;88.62;State Board;85.51;State Board;Commerce;69.1;Commerce & Mgmt;;97.75;HR;59.79
20224;Female;83.63;State Board;89.8;State Board;Commerce;76.33;Commerce & Mgmt;Yes;76.33;Finance;77.66
20225;Male;75.34;State Board;;State Board;Commerce;62.12;Commerce & Mgmt;Yes;97.72;Finance;56.06
20226;Female;52.0;Central Board;64.0;Central Board;Commerce;61.0;Commerce & Mgmt;No;55.0;Finance;62.93
20227;Male;48.36;;40.27;Central Board;Science;73.27;Other Degree;No;61.73;Finance;51.54
20228;Male;52.0;State Board;50.84;State Board;Arts;63.52;Commerce & Mgmt;No;58.32;Finance;56.78
20229;Male;79.31;Central Board;73.6;Central Board;Science;77.68;Science & Tech;Yes;81.09;HR;76.95
20230;Male;59.7;State Board;62.0;State Board;Commerce;67.45;Commerce & Mgmt;No;62.35;Finance;62.52
20231;Male;62.62;Central Board;67.38;Central Board;Commerce;73.81;Commerce & Mgmt;No;81.81;Finance;60.74
20232;Female;75.4;State Board;60.5;Central Board;Science;84.0;Science & Tech;No;98.0;Finance;65.25
20233;Female;72.85;Central Board;71.49;Central Board;Science;74.23;Science & Tech;No;59.81;HR;54.64
20234;Male;67.0;State Board;68.0;State Board;Commerce;64.0;Commerce & Mgmt;Yes;74.4;HR;53.49
20235;Male;75.37;Central Board;65.18;State Board;Commerce;81.74;Commerce & Mgmt;Yes;63.82;HR;
20236;Female;83.96;State Board;53.0;State Board;Science;;Science & Tech;No;;HR;69.71
20237;Female;87.56;State Board;70.56;State Board;Science;66.33;Science & Tech;Yes;60.41;HR;59.09
20238;Male;61.51;Central Board;5.99;Central Board;Commerce;65.0;Commerce & Mgmt;No;66.79;Finance;
20239;Male;65.47;State Board;61.54;State Board;Science;67.8;Science & Tech;Yes;55.35;Finance;77.65
20240;Male;53.02;Central Board;62.96;State Board;Science;60.07;Commerce & Mgmt;Yes;69.89;Finance;53.06
20241;Female;86.96;State Board;90.55;State Board;Commerce;77.18;Commerce & Mgmt;Yes;79.88;Finance;77.45
20242;Male;58.0;State Board;60.0;State Board;Science;72.0;Science & Tech;No;5.29;Finance;53.62
20243;Female;75.82;State Board;71.23;State Board;Commerce;;Commerce & Mgmt;Yes;85.45;Finance;70.08
20244;Female;73.82;State Board;79.12;State Board;Commerce;66.98;Commerce & Mgmt;No;72.09;Finance;63.03
20245;Female;69.76;State Board;60.36;State Board;Science;72.67;Science & Tech;No;55.64;HR;70.17
20246;Male;;State Board;61.0;State Board;Commerce;61.0;Commerce & Mgmt;No;58.0;HR;53.94
20247;Male;88.67;State Board;81.67;State Board;Science;64.67;;Yes;86.67;Finance;66.45
20248;Female;56.24;Central Board;60.62;State Board;Commerce;78.65;Commerce & Mgmt;No;69.86;HR;70.74
20249;Female;77.23;State Board;61.05;State Board;Commerce;67.95;Commerce & Mgmt;Yes;57.59;Finance;61.45
20250;Female;;State Board;54.6;Central Board;Commerce;50.2;Commerce & Mgmt;Yes;76.0;Finance;65.33
20251;Male;52.31;Central Board;47.43;State Board;Commerce;57.06;Commerce & Mgmt;No;62.63;HR;60.57
20252;Male;65.62;State Board;86.49;State Board;Science;65.0;Science & Tech;Yes;70.62;Finance;58.59
20253;Male;49.04;State Board;49.18;State Board;Arts;63.88;Commerce & Mgmt;No;61.95;Finance;55.06
20254;Female;80.44;State Board;78.16;State Board;Commerce;87.88;Commerce & Mgmt;;97.05;Finance;68.6
